               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12114,            0.054116,            0.029452,           0.0060241,            0.010989,           0.0031377,          0.00078158,             0.12008,            0.044846,            0.025315,              0.0928,              0.0008,              0.0008
                   1,             0.11312,            0.069659,            0.028126,           0.0042135,            0.016484,           0.0023703,          0.00072187,             0.10556,             0.05332,            0.023271,            0.084687,           0.0016869,           0.0016869
                   2,             0.10211,            0.068752,            0.025248,            0.006865,            0.032967,           0.0057755,           0.0018796,            0.095282,            0.056796,             0.02031,             0.07656,           0.0025598,           0.0025598
                   3,             0.09133,            0.077743,            0.022645,             0.57356,            0.032967,            0.016528,           0.0038077,            0.087706,            0.054215,            0.016182,            0.068419,           0.0034188,           0.0034188
                   4,            0.086471,            0.072469,            0.018271,             0.55496,            0.027473,            0.012421,           0.0037619,            0.094889,            0.046627,             0.01271,            0.060264,           0.0042639,           0.0042639
                   5,            0.082996,              0.0724,            0.018688,              0.5235,            0.054945,           0.0082776,           0.0025866,            0.098332,            0.058755,            0.010861,            0.052095,            0.005095,            0.005095
                   6,            0.087809,            0.058848,            0.021295,             0.59036,             0.11538,            0.078786,            0.021461,            0.085682,            0.046772,            0.010741,            0.043912,           0.0059123,           0.0059123
                   7,            0.084737,            0.064118,            0.017427,             0.55763,             0.19231,              0.0362,            0.010893,            0.091072,            0.041566,            0.010734,            0.035716,           0.0067156,           0.0067156
                   8,            0.087477,            0.050951,            0.015914,             0.55383,              0.1392,            0.052642,            0.018807,            0.091539,            0.037874,            0.010155,            0.027505,            0.007505,            0.007505
                   9,            0.081243,            0.061564,            0.019537,             0.59391,             0.21978,             0.11114,            0.041069,            0.083359,            0.039416,           0.0099276,             0.01928,           0.0082805,           0.0082805
                  10,            0.080342,            0.050888,            0.018811,             0.62437,             0.23077,             0.14493,            0.050254,            0.078012,            0.038337,            0.010086,            0.011042,            0.009042,            0.009042
                  11,            0.079025,            0.051617,            0.018244,             0.66176,             0.21978,             0.17548,            0.077846,            0.084508,            0.035438,            0.010267,           0.0091492,           0.0091492,           0.0091492
                  12,            0.081353,            0.052619,            0.018367,             0.61649,             0.31868,             0.12784,             0.03624,            0.079798,            0.033334,            0.010576,           0.0091492,           0.0091492,           0.0091492
                  13,            0.073593,            0.052295,            0.018261,             0.72075,             0.26374,             0.24309,            0.099007,            0.076511,            0.035309,            0.010377,           0.0090719,           0.0090719,           0.0090719
                  14,            0.070106,            0.047922,            0.017527,             0.63979,             0.28022,             0.19567,            0.089498,            0.082791,            0.037621,             0.01035,           0.0089945,           0.0089945,           0.0089945
                  15,            0.072726,            0.048829,            0.016703,             0.64281,             0.37363,             0.22232,            0.073348,            0.068311,            0.034617,             0.01026,           0.0089172,           0.0089172,           0.0089172
                  16,            0.066681,            0.051847,            0.016488,             0.71593,             0.29121,             0.27622,             0.12821,            0.068559,            0.034222,            0.010063,           0.0088398,           0.0088398,           0.0088398
                  17,            0.065393,             0.04884,            0.016567,             0.64473,             0.38462,              0.2278,            0.093934,            0.063303,            0.036074,           0.0098577,           0.0087625,           0.0087625,           0.0087625
                  18,            0.064837,            0.048883,             0.01536,             0.13205,             0.55604,             0.19033,            0.081832,            0.080791,            0.034422,            0.009616,           0.0086852,           0.0086852,           0.0086852
                  19,            0.060145,            0.048099,            0.016638,             0.73931,             0.33516,             0.26573,             0.10249,            0.063049,            0.033739,           0.0094724,           0.0086078,           0.0086078,           0.0086078
                  20,            0.060538,             0.04714,            0.015987,             0.74627,             0.34664,             0.30636,             0.12276,             0.05829,            0.032605,            0.009271,           0.0085305,           0.0085305,           0.0085305
                  21,            0.055804,            0.044253,            0.015359,             0.75539,             0.36142,              0.2861,             0.10395,            0.054644,            0.031887,           0.0093021,           0.0084531,           0.0084531,           0.0084531
                  22,            0.055282,            0.043343,            0.017396,             0.74286,             0.36264,             0.32528,             0.11515,            0.054591,            0.033092,           0.0093241,           0.0083758,           0.0083758,           0.0083758
                  23,            0.053555,            0.045128,            0.016367,             0.73029,             0.32418,             0.32122,             0.13135,            0.063702,            0.035664,           0.0089004,           0.0082984,           0.0082984,           0.0082984
                  24,            0.056818,            0.045132,             0.01685,              0.7173,             0.31868,             0.28984,            0.092572,            0.062697,            0.034157,           0.0092206,           0.0082211,           0.0082211,           0.0082211
                  25,            0.058369,            0.053663,            0.016398,              0.7717,             0.34615,             0.32911,             0.14394,            0.057345,            0.032571,           0.0092905,           0.0081437,           0.0081437,           0.0081437
                  26,            0.051682,            0.039139,            0.017387,             0.81521,             0.42177,             0.37978,             0.15867,            0.048972,            0.030972,            0.010016,           0.0080664,           0.0080664,           0.0080664
                  27,            0.051276,            0.044591,             0.01515,             0.92348,             0.37912,             0.46287,             0.17735,            0.049831,            0.030505,           0.0095682,           0.0079891,           0.0079891,           0.0079891
                  28,             0.05035,            0.039863,            0.016223,             0.76576,             0.32415,             0.32805,              0.1418,            0.058671,            0.031004,           0.0093772,           0.0079117,           0.0079117,           0.0079117
                  29,            0.048219,            0.037883,            0.016283,             0.71588,             0.35165,             0.29097,             0.11204,            0.055446,            0.030392,           0.0093731,           0.0078344,           0.0078344,           0.0078344
                  30,            0.051004,            0.043509,            0.014859,             0.86735,             0.34615,              0.4277,             0.20333,            0.046458,            0.030603,           0.0093546,            0.007757,            0.007757,            0.007757
                  31,            0.049131,            0.042846,            0.015291,             0.93223,             0.39011,             0.49322,             0.25322,             0.04341,            0.030527,            0.009491,           0.0076797,           0.0076797,           0.0076797
                  32,            0.046349,             0.04207,            0.015935,              0.9337,             0.43133,             0.50558,             0.20896,             0.04821,            0.031945,           0.0093695,           0.0076023,           0.0076023,           0.0076023
                  33,            0.047133,            0.040931,            0.015832,             0.88842,              0.3956,             0.48167,             0.20641,            0.048541,            0.031578,           0.0091638,            0.007525,            0.007525,            0.007525
                  34,            0.043885,            0.044371,             0.01528,             0.81556,             0.36813,             0.44115,             0.21397,            0.044874,             0.03322,           0.0084958,           0.0074477,           0.0074477,           0.0074477
                  35,            0.042304,             0.04415,            0.015331,             0.83764,             0.39011,             0.43475,             0.18352,            0.048962,            0.031709,           0.0085746,           0.0073703,           0.0073703,           0.0073703
                  36,            0.041624,            0.043285,             0.01691,             0.89253,             0.42143,             0.49263,             0.21455,            0.045047,            0.030535,           0.0089223,            0.007293,            0.007293,            0.007293
                  37,            0.042923,            0.042219,            0.017459,             0.91659,             0.41165,             0.49935,             0.26306,            0.041352,            0.029718,           0.0090115,           0.0072156,           0.0072156,           0.0072156
                  38,            0.043542,            0.042329,            0.014885,             0.93425,             0.41758,             0.55758,             0.23984,            0.046684,            0.030179,           0.0092183,           0.0071383,           0.0071383,           0.0071383
                  39,            0.043479,            0.041493,            0.014392,             0.92346,             0.36478,             0.54073,             0.28059,            0.046052,            0.030481,           0.0090332,           0.0070609,           0.0070609,           0.0070609
                  40,              0.0427,            0.037102,            0.014474,             0.31411,             0.97253,             0.46859,             0.24251,            0.042488,            0.029357,           0.0091615,           0.0069836,           0.0069836,           0.0069836
                  41,            0.042623,            0.041309,            0.014317,             0.36993,             0.96703,             0.59015,             0.31974,             0.04166,            0.029301,           0.0094168,           0.0069063,           0.0069063,           0.0069063
                  42,            0.044267,            0.036829,            0.013712,             0.45607,             0.86703,             0.57138,             0.27997,            0.040507,            0.030267,           0.0096082,           0.0068289,           0.0068289,           0.0068289
                  43,            0.042646,            0.043812,            0.012998,             0.38345,             0.97253,             0.62195,             0.31907,            0.042705,            0.029219,           0.0090447,           0.0067516,           0.0067516,           0.0067516
                  44,            0.040266,            0.041571,            0.015313,             0.36398,             0.86703,             0.56575,             0.28683,            0.043504,            0.030394,           0.0088634,           0.0066742,           0.0066742,           0.0066742
                  45,            0.038798,            0.037657,            0.012801,             0.35962,             0.58352,             0.60351,             0.29749,            0.041127,            0.029004,           0.0084286,           0.0065969,           0.0065969,           0.0065969
                  46,            0.043229,            0.039544,            0.015071,             0.49848,             0.88901,             0.63163,             0.32802,            0.037194,             0.02935,           0.0086096,           0.0065195,           0.0065195,           0.0065195
                  47,            0.040145,            0.039419,            0.013118,             0.49508,             0.81916,             0.62758,              0.2744,            0.043495,            0.030772,           0.0085433,           0.0064422,           0.0064422,           0.0064422
